Event ID,Title,Start Date,End Date,Hide End Date,All Day,RRULE,EXDATE,Recurrence ID,Description,Short Description,Address,City,Country,Location Details,Location Coordinates,Location Type,Event Color,Event Icon,Images IDs,Featured,Calendar Name,Calendar ID,Categories,Categories ID,External Link,External Link Text,Permalink,RSVP,Attendees Limit,Attendees Visibility,UID,Keywords,Author Name
6376,"Formazione specifica in lingua inglese","2025-10-14 08:30:00","2025-10-14 12:30:00",0,0,,,,"14, 17 e 28 ottobre ore 08.30-12.30

<strong>Corso di formazione Specifica per lavoratori a rischio alto in lingua inglese, </strong>come previsto dalla normativa vigente.
Il  corso si svolgerà interamente in lingua inglese.
<div class=""stec-layout-event-inner-intro-section stec-layout-event-inner-intro-desc stec-layout-event-text-fontandcolor"">

&nbsp;

</div>
Per partecipare al corso, compilare la <a href=""https://www.e-labo.it/wp-content/uploads/2025/05/E_MOD1.1_ENG_scheda_iscrizione-rev.-07-del-04-03-2023.pdf"">SCHEDA DI ISCRIZIONE</a> e restituirla compilata all’indirizzo e-mail <a href=""mailto:e-labo@e-labo.it"">e-labo@e-labo.it</a>

&nbsp;

<a href=""https://www.e-labo.it/corsi/formazione-generale-dei-lavoratori/"">INFO CORSO</a>",,"Via dell'Industria 48",Arzignano,Italia,,,physical,#145e66,fa,,0,"Corsi E_Labo",59,"Formazione lavoratori",10,,,https://www.e-labo.it/stec_event/formazione-generale-4-2-2-2-2-2-2-2-2-2-2-2-3-2-3-2-2-2/,0,0,public,e-68aec7d865c35_1e2861b8ec9085632dd5236ed55b8f2f@stachethemes_ec.com,,admin
6375,"Formazione generale in lingua inglese","2025-10-03 08:30:00","2025-10-03 12:30:00",0,0,,,,"<strong>Corso di formazione GENERALE per lavoratori in lingua inglese, </strong>come previsto dalla normativa vigente.
Il corso si svolgerà internamente in lingua inglese.
<div class=""stec-layout-event-inner-intro-section stec-layout-event-inner-intro-desc stec-layout-event-text-fontandcolor"">

&nbsp;

</div>
Per partecipare al corso, compilare la <a href=""https://www.e-labo.it/wp-content/uploads/2025/05/E_MOD1.1_ENG_scheda_iscrizione-rev.-07-del-04-03-2023.pdf"">SCHEDA DI ISCRIZIONE</a> e restituirla compilata all’indirizzo e-mail <a href=""mailto:e-labo@e-labo.it"">e-labo@e-labo.it</a>

&nbsp;

<a href=""https://www.e-labo.it/corsi/formazione-generale-dei-lavoratori/"">INFO CORSO</a>",,"Via dell'Industria 48",Arzignano,Italia,,,physical,#145e66,fa,,0,"Corsi E_Labo",59,"Formazione lavoratori",10,,,https://www.e-labo.it/stec_event/formazione-generale-4-2-2-2-2-2-2-2-2-2-2-2-3-2-3-2-3/,0,0,public,e-68aec7d109310_0393ddcf8cc9334642389e05bb34dbca@stachethemes_ec.com,,admin
6327,"Agg. antincendio livello 2","2025-07-30 13:00:00","2025-07-30 18:00:00",0,0,,,,"<strong>Corso di aggiornamento per gli addetti alle emergenze anti incendio</strong>, conforme a quanto previsto dal D.Lgs. 81/2008 Art. 37 comma 9 - D.M. 02 settembre 2021.

Prerequisiti: aver frequentato il corso completo
E’ richiesta la comprensione dell’italiano, almeno a livello parlato: verrà verificata attraverso un test di ingresso.

Per partecipare al corso, compilare la <a href=""https://www.e-labo.it/wp-content/uploads/2023/06/E_MOD1.1_scheda_iscrizione-rev.-07-del-04-03-2023.pdf"">SCHEDA DI ISCRIZIONE</a> e restituirla compilata all’indirizzo e-mail <a href=""mailto:e-labo@e-labo.it"">e-labo@e-labo.it</a>

&nbsp;

<a href=""/corsi/corso-di-aggiornamento-antincendio-livello-2/"">INFO CORSO</a>",,"Via dell'Industria 48",Arzignano,Italia,,,physical,#145e66,fa,,0,"Corsi E_Labo",59,Antincendio,3,,,https://www.e-labo.it/stec_event/aggiornamento-antincendio-livello-2-3-2-2-2-3-3-2-3-2-3/,0,0,public,e-68638a3e92324_6eb28851d9778b495fb811dc9950cc2b@stachethemes_ec.com,,admin
6312,"Agg. primo soccorso gruppo BC","2025-06-13 08:30:00","2025-06-13 12:30:00",0,0,,,,"<strong>Corso di aggiornamento di Primo Soccorso gruppo BC</strong>, secondo quanto previsto dal D. Lgs. 81/08 e D.M. 388/03.

<span style=""font-size: 1rem;"">Prerequisiti: aver frequentato il corso completo.
</span>E’ richiesta la comprensione dell’italiano, almeno a livello parlato: verrà verificata attraverso un test di ingresso.

Per partecipare al corso, compilare la <a href=""https://www.e-labo.it/wp-content/uploads/2023/06/E_MOD1.1_scheda_iscrizione-rev.-07-del-04-03-2023.pdf"">SCHEDA DI ISCRIZIONE</a> e restituirla compilata all’indirizzo e-mail <a href=""mailto:e-labo@e-labo.it"">e-labo@e-labo.it</a>

&nbsp;

<a href=""/corsi/corso-di-aggiornamento-di-primo-soccorso-gruppo-bc/"">INFO CORSO</a>",,"Via Valdichiampo 9",Zermeghedo,Italia,,,physical,#145e66,fa,,0,"Corsi E_Labo",59,"Primo soccorso",4,,,https://www.e-labo.it/stec_event/aggiornamento-primo-soccorso-gruppo-bc-5-2-2-2-3-2-2-2-3-2-2-2-2-2-2-2-3-2/,0,0,public,e-68429ff01c290_a83c6177cc7681ab8d58207b85ebac62@stachethemes_ec.com,,admin
6311,"Agg. primo soccorso gruppo BC","2025-06-18 13:30:00","2025-06-18 17:30:00",0,0,,,,"<strong>Corso di aggiornamento di Primo Soccorso gruppo BC</strong>, secondo quanto previsto dal D. Lgs. 81/08 e D.M. 388/03.

<span style=""font-size: 1rem;"">Prerequisiti: aver frequentato il corso completo.
</span>E’ richiesta la comprensione dell’italiano, almeno a livello parlato: verrà verificata attraverso un test di ingresso.

Per partecipare al corso, compilare la <a href=""https://www.e-labo.it/wp-content/uploads/2023/06/E_MOD1.1_scheda_iscrizione-rev.-07-del-04-03-2023.pdf"">SCHEDA DI ISCRIZIONE</a> e restituirla compilata all’indirizzo e-mail <a href=""mailto:e-labo@e-labo.it"">e-labo@e-labo.it</a>

&nbsp;

<a href=""/corsi/corso-di-aggiornamento-di-primo-soccorso-gruppo-bc/"">INFO CORSO</a>",,"Via dell'Industria 48",Arzignano,Italia,,,physical,#145e66,fa,,0,"Corsi E_Labo",59,"Primo soccorso",4,,,https://www.e-labo.it/stec_event/aggiornamento-primo-soccorso-gruppo-bc-5-2-2-2-3-2-2-2-3-2-2-2-2-2-2-2-3/,0,0,public,e-68400c7fdf64e_c733fd4a88da5f95502c5f222cc367bd@stachethemes_ec.com,,admin
6290,"Formazione specifica in lingua inglese","2025-05-30 08:30:00","2025-05-30 12:30:00",0,0,,,,"30 maggio, 04 e 05 giugno ore 08.30-12.30

<strong>Corso di formazione Specifica per lavoratori a rischio alto in lingua inglese con ausilio di interprete, </strong>come previsto dal D. Lgs. n. 81/2008 e ASR del 11/01/2012
<div class=""stec-layout-event-inner-intro-section stec-layout-event-inner-intro-desc stec-layout-event-text-fontandcolor"">

&nbsp;

</div>
Per partecipare al corso, compilare la <a href=""https://www.e-labo.it/wp-content/uploads/2025/05/E_MOD1.1_ENG_scheda_iscrizione-rev.-07-del-04-03-2023.pdf"">SCHEDA DI ISCRIZIONE</a> e restituirla compilata all’indirizzo e-mail <a href=""mailto:e-labo@e-labo.it"">e-labo@e-labo.it</a>

&nbsp;

<a href=""https://www.e-labo.it/corsi/formazione-generale-dei-lavoratori/"">INFO CORSO</a>",,"Via dell'Industria 48",Arzignano,Italia,,,physical,#145e66,fa,,0,"Corsi E_Labo",59,"Formazione lavoratori",10,,,https://www.e-labo.it/stec_event/formazione-generale-4-2-2-2-2-2-2-2-2-2-2-2-3-2-3-2-2/,0,0,public,e-6821e8dd82d85_b0870591d39b8cf39f1f77e9cf288b97@stachethemes_ec.com,,admin
6288,"Formazione generale in lingua inglese","2025-05-29 08:30:00","2025-05-29 12:30:00",0,0,,,,"<strong>Corso di formazione GENERALE per lavoratori in lingua inglese con ausilio di interprete, </strong>come previsto dal D. Lgs. n. 81/2008 e ASR del 11/01/2012
<div class=""stec-layout-event-inner-intro-section stec-layout-event-inner-intro-desc stec-layout-event-text-fontandcolor"">

&nbsp;

</div>
Per partecipare al corso, compilare la <a href=""https://www.e-labo.it/wp-content/uploads/2025/05/E_MOD1.1_ENG_scheda_iscrizione-rev.-07-del-04-03-2023.pdf"">SCHEDA DI ISCRIZIONE</a> e restituirla compilata all’indirizzo e-mail <a href=""mailto:e-labo@e-labo.it"">e-labo@e-labo.it</a>

&nbsp;

<a href=""https://www.e-labo.it/corsi/formazione-generale-dei-lavoratori/"">INFO CORSO</a>",,"Via dell'Industria 48",Arzignano,Italia,,,physical,#145e66,fa,,0,"Corsi E_Labo",59,"Formazione lavoratori",10,,,https://www.e-labo.it/stec_event/formazione-generale-4-2-2-2-2-2-2-2-2-2-2-2-3-2-3-2/,0,0,public,e-6821e837857d2_1416e65c55e777f411d0df38c0eb6911@stachethemes_ec.com,,admin
6281,"Workshop gratuito sul benessere organizzativo","2025-05-14 16:30:00","2025-05-14 18:30:00",0,0,,,,"<strong><span style=""color: #185e64;""><em>Una tavola rotonda per sperimentare strumenti di relazione e gestione del personale</em></span></strong>

Proponiamo un incontro laboratoriale per coloro che si occupano di gestione del personale e ruoli di leadership.

Temi trattati:
• GESTIONE DEI COLLABORATORI
• STRUMENTI PRATICI PER UNA COMUNICAZIONE EFFICACE
• CONDIVISIONE DI BEST PRACTICE
• SOLUZIONI FORMATIVE SPECIFICHE
• BENESSERE ORGANIZZATIVO

Evento rivolto a titolari di impresa, datori di lavoro, ufficio risorse umane

<em>Per registrarti <span style=""color: #185e64;""><strong><a style=""color: #185e64;"" href=""https://forms.gle/pqZhUkDoPrbepmQs7"">compila il questionario online</a></strong></span> fornendo i tuoi dati e il ruolo ricoperto in azienda.</em>",,"Via del Lavoro, 22",Arzignano,,,,physical,#b6fa0a,fa,,0,"Corsi E_Labo",59,"Eventi e seminari",11,,,https://www.e-labo.it/stec_event/workshop-gratuito-sul-benessere-organizzativo/,0,0,public,e-681b7571a06fd_6ae0563237b1360bc4d959ab01257ea2@stachethemes_ec.com,,elabo-edit
6280,"Formazione specifica","2025-06-04 08:30:00","2025-06-04 12:30:00",0,0,,,,"<strong>Corsi per lavoratori di FORMAZIONE SPECIFICA,</strong> come previsto dal D. Lgs. n. 81/2008 e ASR del 11/01/2012
<ul>
 	<li><strong>Formazione specifica rischio basso (4 ore):</strong>04 giugno ore 08.30-12.30</li>
 	<li><strong>Formazione specifica rischio medio (8 ore): </strong>04 e 11 giugno ore 08.30-12.30</li>
 	<li><strong>Formazione specifica rischio alto (12 ore): </strong>04, 11 e 18 giugno ore 08.30-12.30</li>
</ul>
Prerequisiti:
<ul>
 	<li>Aver frequentato il corso di formazione generale;</li>
 	<li>E’ richiesta la comprensione dell’italiano, almeno a livello parlato: verrà verificata attraverso un test di ingresso.</li>
</ul>
NB: Per capire quale corso di Formazione Specifica frequentare, è necessario fare riferimento alla mansione svolta ed al Codice ATECO della vs azienda, riportato sulla Visura Camerale. Contattateci per delucidazioni e/o assistenza.

Per partecipare al corso, compilare la <a href=""https://www.e-labo.it/wp-content/uploads/2023/06/E_MOD1.1_scheda_iscrizione-rev.-07-del-04-03-2023.pdf"">SCHEDA DI ISCRIZIONE</a> e restituirla compilata all’indirizzo e-mail <a href=""mailto:e-labo@e-labo.it"">e-labo@e-labo.it</a>

&nbsp;

<a href=""https://www.e-labo.it/categoria-corsi/formazione-specifica-lavoratori/"">INFO CORSO</a>",,"Via dell'Industria 48",Arzignano,Italia,,,physical,#145e66,fa,,0,"Corsi E_Labo",59,"Formazione lavoratori",10,,,https://www.e-labo.it/stec_event/formazione-specifica-rischio-basso-4-2-2-2-2-2-2-2-2-2-2-2-2-3-2-2-2-3/,0,0,public,e-681a1243a0f56_728de6c1099730411f8e8c62a5061da0@stachethemes_ec.com,,admin
6279,"Formazione generale","2025-05-28 08:30:00","2025-05-28 12:30:00",0,0,,,,"<strong>Corso di formazione GENERALE per lavoratori, </strong>come previsto dal D. Lgs. n. 81/2008 e ASR del 11/01/2012
<div class=""stec-layout-event-inner-intro-section stec-layout-event-inner-intro-desc stec-layout-event-text-fontandcolor"">

<span style=""font-size: 1rem;"">E’ richiesta la comprensione dell’italiano, almeno a livello parlato: verrà verificata attraverso un test di ingresso.</span>

</div>
Per partecipare al corso, compilare la <a href=""https://www.e-labo.it/wp-content/uploads/2023/06/E_MOD1.1_scheda_iscrizione-rev.-07-del-04-03-2023.pdf"">SCHEDA DI ISCRIZIONE</a> e restituirla compilata all’indirizzo e-mail <a href=""mailto:e-labo@e-labo.it"">e-labo@e-labo.it</a>

&nbsp;

<a href=""https://www.e-labo.it/corsi/formazione-generale-dei-lavoratori/"">INFO CORSO</a>",,"Via Valdichiampo 9",Zermeghedo,Italia,,,physical,#145e66,fa,,0,"Corsi E_Labo",59,"Formazione lavoratori",10,,,https://www.e-labo.it/stec_event/formazione-generale-4-2-2-2-2-2-2-2-2-2-2-2-3-2-3/,0,0,public,e-681a120d46098_39f6532f4cfa2f76a66dba213aaef958@stachethemes_ec.com,,admin
